id,title,rating,uri,年份,地区,类型,主演
37116612,世界的主人,9.2,douban://douban.com/movie/37116612,2025,韩国,剧情,尹佳恩
36926954,杀的就是你,7.0,douban://douban.com/movie/36926954,2026,美国,喜剧,基里尔·索科洛夫
36926954,杀的就是你,7.0,douban://douban.com/movie/36926954,2026,美国,动作,基里尔·索科洛夫
36926954,杀的就是你,7.0,douban://douban.com/movie/36926954,2026,美国,恐怖,基里尔·索科洛夫
37427884,我的麻烦室友,6.1,douban://douban.com/movie/37427884,2026,美国,喜剧,钱德勒·莱瓦科
36779303,巅峰猎杀,6.4,douban://douban.com/movie/36779303,2026,加拿大 澳大利亚 美国 冰岛,动作,巴塔萨·科马库
36779303,巅峰猎杀,6.4,douban://douban.com/movie/36779303,2026,加拿大 澳大利亚 美国 冰岛,惊悚,巴塔萨·科马库
37019075,蒙特利尔，我的美人,7.6,douban://douban.com/movie/37019075,2025,法国 加拿大,剧情,和晓丹
37019075,蒙特利尔，我的美人,7.6,douban://douban.com/movie/37019075,2025,法国 加拿大,同性,和晓丹
36978169,与王生活的男人,7.5,douban://douban.com/movie/36978169,2026,韩国,剧情,张抗俊
36978169,与王生活的男人,7.5,douban://douban.com/movie/36978169,2026,韩国,历史,张抗俊
36413501,情感价值,7.6,douban://douban.com/movie/36413501,2025,挪威 德国 丹麦 法国 瑞典 英国,剧情,约阿希姆·提尔
37311135,飞驰人生3,7.3,douban://douban.com/movie/37311135,2026,中国大陆,剧情,韩寒
37311135,飞驰人生3,7.3,douban://douban.com/movie/37311135,2026,中国大陆,喜剧,韩寒
37311135,飞驰人生3,7.3,douban://douban.com/movie/37311135,2026,中国大陆,运动,韩寒
36219411,像我这样的爱情,7.1,douban://douban.com/movie/36219411,2025,中国香港,剧情,谭惠贞
36219411,像我这样的爱情,7.1,douban://douban.com/movie/36219411,2025,中国香港,爱情,谭惠贞
36909312,翠湖,7.8,douban://douban.com/movie/36909312,2025,中国大陆,剧情,王籽璇
36832900,准备好了没2：我来了,6.0,douban://douban.com/movie/36832900,2026,美国 加拿大,喜剧,泰勒·吉勒特 马特·贝蒂内利-奥尔平
36832900,准备好了没2：我来了,6.0,douban://douban.com/movie/36832900,2026,美国 加拿大,惊悚,泰勒·吉勒特 马特·贝蒂内利-奥尔平
36832900,准备好了没2：我来了,6.0,douban://douban.com/movie/36832900,2026,美国 加拿大,恐怖,泰勒·吉勒特 马特·贝蒂内利-奥尔平
26022233,蜂蜜的针,7.1,douban://douban.com/movie/26022233,2026,中国大陆,爱情,袁梅
26022233,蜂蜜的针,7.1,douban://douban.com/movie/26022233,2026,中国大陆,悬疑,袁梅
26022233,蜂蜜的针,7.1,douban://douban.com/movie/26022233,2026,中国大陆,犯罪,袁梅
34864022,请求救援,6.7,douban://douban.com/movie/34864022,2026,美国 加拿大 英国 澳大利亚 泰国,惊悚,山姆·雷米
34864022,请求救援,6.7,douban://douban.com/movie/34864022,2026,美国 加拿大 英国 澳大利亚 泰国,恐怖,山姆·雷米
34864022,请求救援,6.7,douban://douban.com/movie/34864022,2026,美国 加拿大 英国 澳大利亚 泰国,冒险,山姆·雷米
36697078,密探,7.8,douban://douban.com/movie/36697078,2025,巴西 法国 荷兰 德国,剧情,小克莱伯·门多萨
36697078,密探,7.8,douban://douban.com/movie/36697078,2025,巴西 法国 荷兰 德国,悬疑,小克莱伯·门多萨
36697078,密探,7.8,douban://douban.com/movie/36697078,2025,巴西 法国 荷兰 德国,惊悚,小克莱伯·门多萨
36697078,密探,7.8,douban://douban.com/movie/36697078,2025,巴西 法国 荷兰 德国,犯罪,小克莱伯·门多萨
36999793,河狸变身计划,7.5,douban://douban.com/movie/36999793,2026,美国,喜剧,丹尼尔·钟
36999793,河狸变身计划,7.5,douban://douban.com/movie/36999793,2026,美国,科幻,丹尼尔·钟
36999793,河狸变身计划,7.5,douban://douban.com/movie/36999793,2026,美国,动画,丹尼尔·钟
37077505,爆弹,7.3,douban://douban.com/movie/37077505,2025,日本,悬疑,永井聪
37077505,爆弹,7.3,douban://douban.com/movie/37077505,2025,日本,犯罪,永井聪
36963690,呼啸山庄,6.2,douban://douban.com/movie/36963690,2026,英国 美国,剧情,埃默拉尔德·芬内尔
36963690,呼啸山庄,6.2,douban://douban.com/movie/36963690,2026,英国 美国,爱情,埃默拉尔德·芬内尔
37284351,局外人,7.3,douban://douban.com/movie/37284351,2025,法国,剧情,弗朗索瓦·欧容
37284351,局外人,7.3,douban://douban.com/movie/37284351,2025,法国,犯罪,弗朗索瓦·欧容
37312482,爱上平行时空的你,8.1,douban://douban.com/movie/37312482,2025,俄罗斯,剧情,达里娅·列别杰娃
37312482,爱上平行时空的你,8.1,douban://douban.com/movie/37312482,2025,俄罗斯,喜剧,达里娅·列别杰娃
37312482,爱上平行时空的你,8.1,douban://douban.com/movie/37312482,2025,俄罗斯,爱情,达里娅·列别杰娃
37312482,爱上平行时空的你,8.1,douban://douban.com/movie/37312482,2025,俄罗斯,奇幻,达里娅·列别杰娃
